function,sampling_size,avg_exec_time
collect_lazy,17,0.01
collect_all_lazy,17,0.01
collect_direct,17,0.04
collect_lazy_sink,17,0.1
collect_lazy_stream,17,0.06
collect_lazy_memory,17,0.04
collect_direct_intermed,17,0.07
collect_direct_intermed_memory,17,0.03
collect_lazy,34,0.01
collect_all_lazy,34,0.01
collect_direct,34,0.1
collect_lazy_sink,34,0.19
collect_lazy_stream,34,0.12
collect_lazy_memory,34,0.08
collect_direct_intermed,34,0.14
collect_direct_intermed_memory,34,0.07
collect_lazy,51,0.02
collect_all_lazy,51,0.02
collect_direct,51,0.12
collect_lazy_sink,51,0.29
collect_lazy_stream,51,0.2
collect_lazy_memory,51,0.11
collect_direct_intermed,51,0.23
collect_direct_intermed_memory,51,0.12
collect_lazy,68,0.02
collect_all_lazy,68,0.02
collect_direct,68,0.14
collect_lazy_sink,68,0.34
collect_lazy_stream,68,0.24
collect_lazy_memory,68,0.14
collect_direct_intermed,68,0.27
collect_direct_intermed_memory,68,0.12
collect_lazy,103,0.04
collect_all_lazy,103,0.03
collect_direct,103,0.23
collect_lazy_sink,103,0.59
collect_lazy_stream,103,0.38
collect_lazy_memory,103,0.22
collect_direct_intermed,103,0.44
collect_direct_intermed_memory,103,0.21
collect_lazy,154,0.06
collect_all_lazy,154,0.04
collect_direct,154,0.35
collect_lazy_sink,154,0.86
collect_lazy_stream,154,0.57
collect_lazy_memory,154,0.33
collect_direct_intermed,154,0.66
collect_direct_intermed_memory,154,0.3
collect_lazy,239,0.1
collect_all_lazy,239,0.08
collect_direct,239,0.53
collect_lazy_sink,239,1.33
collect_lazy_stream,239,0.89
collect_lazy_memory,239,0.52
collect_direct_intermed,239,1.0
collect_direct_intermed_memory,239,0.46
collect_lazy,376,0.17
collect_all_lazy,376,0.11
collect_direct,376,0.87
collect_lazy_sink,376,1.98
collect_lazy_stream,376,1.36
collect_lazy_memory,376,0.92
collect_direct_intermed,376,1.63
collect_direct_intermed_memory,376,0.68
collect_lazy,599,0.4
collect_all_lazy,599,0.18
collect_direct,599,1.41
collect_lazy_sink,599,3.39
collect_lazy_stream,599,2.26
collect_lazy_memory,599,1.32
collect_direct_intermed,599,2.81
collect_direct_intermed_memory,599,1.29
collect_lazy,958,0.9
collect_all_lazy,958,0.28
collect_direct,958,2.39
collect_lazy_sink,958,5.24
collect_lazy_stream,958,3.58
collect_lazy_memory,958,2.08
collect_direct_intermed,958,3.96
collect_direct_intermed_memory,958,1.83
collect_lazy,1539,2.37
collect_all_lazy,1539,0.5
collect_direct,1539,4.23
collect_lazy_sink,1539,8.6
collect_lazy_stream,1539,6.29
collect_lazy_memory,1539,3.41
collect_direct_intermed,1539,6.83
collect_direct_intermed_memory,1539,3.17
collect_lazy,2480,6.38
collect_all_lazy,2480,0.72
collect_direct,2480,8.4
collect_lazy_sink,2480,13.99
collect_lazy_stream,2480,9.37
collect_lazy_memory,2480,5.66
collect_direct_intermed,2480,10.88
collect_direct_intermed_memory,2480,5.29
collect_lazy,4001,17.6
collect_all_lazy,4001,1.16
collect_direct,4001,16.49
collect_lazy_sink,4001,22.37
collect_lazy_stream,4001,15.44
collect_lazy_memory,4001,8.61
collect_direct_intermed,4001,17.81
collect_direct_intermed_memory,4001,7.72
collect_lazy,6515,49.4
collect_all_lazy,6515,1.84
collect_direct,6515,35.43
collect_lazy_sink,6515,36.88
collect_lazy_stream,6515,24.47
collect_lazy_memory,6515,14.16
collect_direct_intermed,6515,27.84
collect_direct_intermed_memory,6515,12.32
